style,role,occasion,description
casual,"a small-framed, delicate woman",a fancy date,"A chic and casual outfit for a small-framed, delicate woman on a fancy date could include
a flowy midi dress made of lightweight linen or satin. The dress could feature a V-neckline, cap sleeves, and
a cinched waist to accentuate her frame. To accessorize, she could pair the dress with strappy sandals, a
statement necklace, and a clutch purse. A wide-brimmed hat or a chic headband could also be added for an extra
touch of elegance. Overall, this outfit strikes the perfect balance between casual and fancy, making it the
perfect choice for a small-framed, delicate woman on a fancy date."
casual,"a short, curvy man with a muscular build",a picnic,"For a short, curvy man with a muscular build, a casual picnic outfit could include
a lightweight, breathable shirt made of a crosswise grain fabric with a diagonal waistline. This will
accentuate his curves and give him a relaxed, comfortable look. Pair this with a pair of well-fitted chino
shorts that have a bit of stretch, and a drawstring waistband to keep them in place. Finish off the look with
a pair of casual boat shoes or sandals. To accessorize, add a stylish watch or bracelet, and a pair of
sunglasses to protect his eyes from the sun. Overall, this outfit is perfect for a casual picnic and will help
him feel confident and comfortable in any situation."
bohemian,"a small-framed, delicate woman",a fancy date,"A bohemian style outfit for a small-framed, delicate woman on a fancy date could consist
of a flowy, pastel-colored midi dress with intricate floral patterns and a cinched waistline to accentuate her
figure. The dress could be paired with delicate strappy sandals and a lightweight cardigan or jacket for added
warmth. To accessorize, a statement necklace with a large pendant and a pair of dainty earrings could be worn,
along with a flowing headband or scrunchie to tie back long hair. A small purse or clutch in a complementary
color could complete the look."
bohemian,"a short, curvy man with a muscular build",a casual date,"For a short, curvy man with a muscular build, a bohemian-style outfit
would be perfect for a casual date. Here's a description of an outfit that would work well:

Top: A flowy, lightweight crop top made of soft, breathable material like cotton or linen. It should have a
relaxed fit and feature a V-neckline with thin, adjustable straps. Look for a top with intricate embroidery or
patterns to add some personality to the outfit.

Bottoms: Pair the crop top with a high-waisted, flowy skirt made of the same material as the top. The skirt
should be knee-length or just above the knee, and have a full, A-line silhouette. Look for a skirt with a fun,
bohemian print or pattern to add some character to the outfit.

Shoes: Finish off the outfit with a pair of comfortable, casual shoes like sandals or espadrilles. Choose a
pair in a neutral color like beige or brown to complement the outfit without taking away from its bohemian
vibe.

Accessories: Keep it simple and minimal with a few statement pieces of jewelry. A long, flowing necklace made
of beads or crystals would be a great addition, as would a pair of delicate hoop earrings. Don't forget to
bring along a stylish bag or backpack to carry your essentials.

Overall, this bohemian-style outfit is perfect for a short, curvy man with a muscular build who wants to look
effortlessly cool and confident on a casual date."
classic,"a small-framed, delicate woman",a winter vacation,"A classic winter vacation outfit for a small-framed, delicate woman could include a
tailored black blazer with gold buttons, paired with a crisp white collared shirt and a silk scarf tied around
her neck. The blazer could feature a slim fit and a single button, while the shirt could have a classic collar
and a fitted waist. The silk scarf could be in a subtle pattern or a solid color, and could be tied in a
simple bow around her neck. To complete the outfit, a pair of black leather ankle boots with a pointed toe and
a block heel could be worn, along with a pair of statement earrings and a delicate bracelet. The overall look
would be sophisticated, elegant, and timeless, making it perfect for a winter vacation."
classic,"a short, curvy man with a muscular build",a national parks,"For a short, curvy man with a muscular build, a classic style outfit would
be perfect for a day out at the national park. Here's a suggestion:

Start with a well-tailored navy blue suit, made from a lightweight and breathable fabric like cotton or linen.
This will keep you comfortable in the warm weather while still looking sharp and polished. Pair the suit with
a crisp white collared shirt and a silk tie in a subtle pattern or color, such as stripes or checks.

For shoes, choose a pair of classic leather oxford boots with a low profile and a slight taper towards the
toe. These will complement the suit and add a touch of sophistication to your outfit.

To accessorize, consider adding a silver watch with a leather strap and a pair of cufflinks. A simple gold
belt with a buckle that matches the watch will complete the look.

Finally, don't forget to pack a hat! A fedora or a Panama hat will protect you from the sun and add a touch of
style to your outfit.

Overall, this classic style outfit will help you look sharp and polished while still being comfortable enough
for a day out at the national park."
gothic,"a small-framed, delicate woman",a play / concert,"A gothic-style fashion outfit for a small-framed, delicate woman attending a play or
concert could include a flowing black velvet dress with intricate lace details and a fitted bodice. The dress
could also feature a thigh-length hemline and a cinched waist to accentuate the figure. To accessorize, a pair
of strappy black leather boots with a pointed toe and a chunky heel would complement the dress, along with a
statement necklace made of black crystals and a black feather headband. The overall look would be dark and
dramatic, with a focus on textures and details that add depth and interest to the outfit."
gothic,"a short, curvy man with a muscular build",a birthday party,"For a short, curvy man with a muscular build attending a birthday party, a
gothic-style outfit would be a great choice. Here's a description of an outfit that could work well:

Top: A black velvet crop top with a fitted bodice and a V-neckline. The sleeves should be long and fitted,
with a slight bell-shaped cuff.

Bottoms: Black leather leggings with a high waist and a fitted bottom. Look for leggings with a subtle texture
or pattern to add interest to the outfit.

Shoes: Black combat boots with a chunky heel and a pointed toe. These boots will add height and structure to
the outfit, and the pointed toe will elongate the legs.

Accessories: A black leather belt with a buckle and a large silver pendant necklace. Add some black eyeliner
and dark lipstick to complete the look.

Overall, this outfit combines classic gothic elements with modern touches, making it perfect for a birthday
party. The black velvet and leather will add a touch of sophistication, while the combat boots and cropped top
will give the outfit an edgy feel."
sporty,"a small-framed, delicate woman",a wedding,"A sporty style wedding outfit for a small-framed, delicate woman could include a pastel-
colored, knee-length dress made from a lightweight, breathable fabric such as chiffon or organza. The dress
could feature a V-neckline with thin, adjustable straps and a fitted bodice that accentuates the waist. A
flowing A-line skirt with a small slit on one side would add movement and flair to the outfit. To complete the
look, a pair of nude-colored, strappy high heels and simple, statement earrings would add a touch of elegance
while still keeping the overall feel sporty and casual. A lightweight, denim jacket could also be added as a
layer for cooler weather, and a small clutch purse in a complementary color could be carried for practicality."
sporty,"a short, curvy man with a muscular build",a night club,"For a short, curvy man with a muscular build looking to make a statement at a
night club, a sporty style outfit would be the perfect choice. Start with a form-fitting black tank top to
show off his toned arms and chest. Pair it with a high-waisted, black leather belt to accentuate his waist and
define his torso. Next, add a pair of high-waisted, black leather leggings to elongate his legs and give him a
sleek, athletic look. Finish off the outfit with a pair of black, high-top sneakers to complete the sporty
vibe. Accessorize with a black watch and a pair of black sunglasses to add some edge to the look. With this
outfit, he'll turn heads and stand out from the crowd at any night club."
casual,"a small-framed, delicate woman",a business meeting,"A chic and comfortable outfit for a small-framed, delicate woman attending a
business meeting would be a combination of a tailored blouse and a pair of high-waisted trousers. The blouse
could be made from a soft and breathable fabric like jersey or taffeta, with a V-neckline and short sleeves.
The pants could be made from a lightweight and flexible material like spandex or leggings, with a fitted
waistband and a relaxed leg. To add some height and dimension to the outfit, a pair of block heels or strappy
sandals could be worn. Accessories like a statement necklace or simple earrings could also be added to elevate
the look. Overall, this outfit strikes the perfect balance between professionalism and comfort, making it
ideal for any business setting."
casual,"a short, curvy man with a muscular build",a concert,"For a short, curvy man with a muscular build attending a concert, a casual style
outfit would be perfect. A crosswise grain shirt made of soft and stretchy fabric would be a great choice, as
it would hug his curves and accentuate his muscles. To add volume to his upper body, he could pair the shirt
with a cropped denim jacket that has a diagonal waistline. A pair of high-waisted skinny jeans with a relaxed
fit would be a great option for the bottom half of his body, as they would hug his curves without being too
tight. To complete the look, he could add a statement watch and a pair of sneakers with a sporty design.
Overall, this outfit would be both stylish and comfortable, making it perfect for a night out at a concert."
